LinkID	busid	Aid	Bid
262	11	846	886
263	11	886	926
264	11	926	966
265	12	966	926
266	12	926	886
267	12	886	846
268	12	846	806
269	12	806	766
270	12	766	726
271	12	726	686
272	12	686	646
273	12	646	606
274	12	606	566
275	12	566	526
276	12	526	486
277	12	486	446
278	12	446	406
279	12	406	366
280	12	366	326
281	12	326	286
282	12	286	246
283	12	246	206
284	12	206	166
285	12	166	126
286	12	126	86
287	12	86	46
288	12	46	6
289	13	7	47
290	13	47	87
291	13	87	127
292	13	127	167
293	13	167	207
294	13	207	247
295	13	247	287
296	13	287	327
297	13	327	367
298	13	367	407
299	13	407	447
300	13	447	487
301	13	487	527
302	13	527	567
303	13	567	607
304	13	607	647
305	13	647	687
306	13	687	727
307	13	727	767
308	13	767	807
309	13	807	847
310	13	847	887
311	13	887	927
312	13	927	967
313	14	967	927
314	14	927	887
315	14	887	847
316	14	847	807
317	14	807	767
318	14	767	727
319	14	727	687
320	14	687	647
321	14	647	607
322	14	607	567
323	14	567	527
324	14	527	487
325	14	487	447
326	14	447	407
327	14	407	367
328	14	367	327
329	14	327	287
330	14	287	247
331	14	247	207
332	14	207	167
333	14	167	127
334	14	127	87
335	14	87	47
336	14	47	7
337	15	8	48
338	15	48	88
339	15	88	128
340	15	128	168
341	15	168	208
342	15	208	248
343	15	248	288
344	15	288	328
345	15	328	368
346	15	368	408
347	15	408	448
348	15	448	488
349	15	488	528
350	15	528	568
351	15	568	608
352	15	608	648
353	15	648	688
354	15	688	728
355	15	728	768
356	15	768	808
357	15	808	848
358	15	848	888
359	15	888	928
360	15	928	968
361	16	968	928
362	16	928	888
363	16	888	848
364	16	848	808
365	16	808	768
366	16	768	728
367	16	728	688
368	16	688	648
369	16	648	608
370	16	608	568
371	16	568	528
372	16	528	488
373	16	488	448
374	16	448	408
375	16	408	368
376	16	368	328
377	16	328	288
378	16	288	248
379	16	248	208
380	16	208	168
381	16	168	128
382	16	128	88
383	16	88	48
384	16	48	8
385	17	9	49
386	17	49	89
387	17	89	129
388	17	129	169
389	17	169	209
390	17	209	249
391	17	249	289
392	17	289	329
393	17	329	369
394	17	369	409
395	17	409	449
396	17	449	489
397	17	489	529
398	17	529	569
399	17	569	609
400	17	609	649
401	17	649	689
402	17	689	729
403	17	729	769
404	17	769	809
405	17	809	849
406	17	849	889
407	17	889	929
408	17	929	969
409	18	969	929
410	18	929	889
411	18	889	849
412	18	849	809
413	18	809	769
414	18	769	729
415	18	729	689
416	18	689	649
417	18	649	609
418	18	609	569
419	18	569	529
420	18	529	489
421	18	489	449
422	18	449	409
423	18	409	369
424	18	369	329
425	18	329	289
426	18	289	249
427	18	249	209
428	18	209	169
429	18	169	129
430	18	129	89
431	18	89	49
432	18	49	9
433	19	10	50
434	19	50	90
435	19	90	130
436	19	130	170
437	19	170	210
438	19	210	250
439	19	250	290
440	19	290	330
441	19	330	370
442	19	370	410
443	19	410	450
444	19	450	490
445	19	490	530
446	19	530	570
447	19	570	610
448	19	610	650
449	19	650	690
450	19	690	730
451	19	730	770
452	19	770	810
453	19	810	850
454	19	850	890
455	19	890	930
456	19	930	970
457	20	970	930
458	20	930	890
459	20	890	850
460	20	850	810
461	20	810	770
462	20	770	730
463	20	730	690
464	20	690	650
465	20	650	610
466	20	610	570
467	20	570	530
468	20	530	490
469	20	490	450
470	20	450	410
471	20	410	370
472	20	370	330
473	20	330	290
474	20	290	250
475	20	250	210
476	20	210	170
477	20	170	130
478	20	130	90
479	20	90	50
480	20	50	10
481	21	11	51
482	21	51	91
483	21	91	131
484	21	131	171
485	21	171	211
486	21	211	251
487	21	251	291
488	21	291	331
489	21	331	371
490	21	371	411
491	21	411	451
492	21	451	491
493	21	491	531
494	21	531	571
495	21	571	611
496	21	611	651
497	21	651	691
498	21	691	731
499	21	731	771
500	21	771	811
501	21	811	851
502	21	851	891
503	21	891	931
504	21	931	971
505	22	971	931
506	22	931	891
507	22	891	851
508	22	851	811
509	22	811	771
510	22	771	731
511	22	731	691
512	22	691	651
513	22	651	611
514	22	611	571
515	22	571	531
516	22	531	491
517	22	491	451
518	22	451	411
519	22	411	371
520	22	371	331
521	22	331	291
522	22	291	251
523	22	251	211
524	22	211	171
525	22	171	131
526	22	131	91
527	22	91	51
528	22	51	11
529	23	12	52
530	23	52	92
531	23	92	132
532	23	132	172
533	23	172	212
534	23	212	252
535	23	252	292
536	23	292	332
537	23	332	372
538	23	372	412
539	23	412	452
540	23	452	492
541	23	492	532
542	23	532	572
543	23	572	612
544	23	612	652
545	23	652	692
546	23	692	732
547	23	732	772
548	23	772	812
549	23	812	852
550	23	852	892
551	23	892	932
552	23	932	972
553	24	972	932
554	24	932	892
555	24	892	852
556	24	852	812
557	24	812	772
558	24	772	732
559	24	732	692
560	24	692	652
561	24	652	612
562	24	612	572
563	24	572	532
564	24	532	492
565	24	492	452
566	24	452	412
567	24	412	372
568	24	372	332
569	24	332	292
570	24	292	252
571	24	252	212
572	24	212	172
573	24	172	132
574	24	132	92
575	24	92	52
576	24	52	12
577	25	13	53
578	25	53	93
579	25	93	133
580	25	133	173
581	25	173	213
582	25	213	253
583	25	253	293
584	25	293	333
585	25	333	373
586	25	373	413
587	25	413	453
588	25	453	493
589	25	493	533
590	25	533	573
591	25	573	613
592	25	613	653
593	25	653	693
594	25	693	733
595	25	733	773
596	25	773	813
597	25	813	853
598	25	853	893
599	25	893	933
600	25	933	973
601	26	973	933
602	26	933	893
603	26	893	853
604	26	853	813
605	26	813	773
606	26	773	733
607	26	733	693
608	26	693	653
609	26	653	613
610	26	613	573
611	26	573	533
612	26	533	493
613	26	493	453
614	26	453	413
615	26	413	373
616	26	373	333
617	26	333	293
618	26	293	253
619	26	253	213
620	26	213	173
621	26	173	133
622	26	133	93
623	26	93	53
624	26	53	13
625	27	14	54
626	27	54	94
627	27	94	134
628	27	134	174
629	27	174	214
630	27	214	254
631	27	254	294
632	27	294	334
633	27	334	374
634	27	374	414
635	27	414	454
636	27	454	494
637	27	494	534
638	27	534	574
639	27	574	614
640	27	614	654
641	27	654	694
642	27	694	734
643	27	734	774
644	27	774	814
645	27	814	854
646	27	854	894
647	27	894	934
648	27	934	974
649	28	974	934
650	28	934	894
651	28	894	854
652	28	854	814
653	28	814	774
654	28	774	734
655	28	734	694
656	28	694	654
657	28	654	614
658	28	614	574
659	28	574	534
660	28	534	494
661	28	494	454
662	28	454	414
663	28	414	374
664	28	374	334
665	28	334	294
666	28	294	254
667	28	254	214
668	28	214	174
669	28	174	134
670	28	134	94
671	28	94	54
672	28	54	14
673	29	15	55
674	29	55	95
675	29	95	135
676	29	135	175
677	29	175	215
678	29	215	255
679	29	255	295
680	29	295	335
681	29	335	375
682	29	375	415
683	29	415	455
684	29	455	495
685	29	495	535
686	29	535	575
687	29	575	615
688	29	615	655
689	29	655	695
690	29	695	735
691	29	735	775
692	29	775	815
693	29	815	855
694	29	855	895
695	29	895	935
696	29	935	975
697	30	975	935
698	30	935	895
699	30	895	855
700	30	855	815
701	30	815	775
702	30	775	735
703	30	735	695
704	30	695	655
705	30	655	615
706	30	615	575
707	30	575	535
708	30	535	495
709	30	495	455
710	30	455	415
711	30	415	375
712	30	375	335
713	30	335	295
714	30	295	255
715	30	255	215
716	30	215	175
717	30	175	135
718	30	135	95
719	30	95	55
720	30	55	15
721	31	16	56
722	31	56	96
723	31	96	136
724	31	136	176
725	31	176	216
726	31	216	256
727	31	256	296
728	31	296	336
729	31	336	376
730	31	376	416
731	31	416	456
732	31	456	496
733	31	496	536
734	31	536	576
735	31	576	616
736	31	616	656
737	31	656	696
738	31	696	736
739	31	736	776
740	31	776	816
741	31	816	856
742	31	856	896
743	31	896	936
744	31	936	976
745	32	976	936
746	32	936	896
747	32	896	856
748	32	856	816
749	32	816	776
750	32	776	736
751	32	736	696
752	32	696	656
753	32	656	616
754	32	616	576
755	32	576	536
756	32	536	496
757	32	496	456
758	32	456	416
759	32	416	376
760	32	376	336
761	32	336	296
762	32	296	256
763	32	256	216
764	32	216	176
765	32	176	136
766	32	136	96
767	32	96	56
768	32	56	16
769	33	17	57
770	33	57	97
771	33	97	137
772	33	137	177
773	33	177	217
774	33	217	257
775	33	257	297
776	33	297	337
777	33	337	377
778	33	377	417
779	33	417	457
780	33	457	497
781	33	497	537
782	33	537	577
783	33	577	617
784	33	617	657
785	33	657	697
786	33	697	737
787	33	737	777
788	33	777	817
789	33	817	857
790	33	857	897
791	33	897	937
792	33	937	977
793	34	977	937
794	34	937	897
795	34	897	857
796	34	857	817
797	34	817	777
798	34	777	737
799	34	737	697
800	34	697	657
801	34	657	617
802	34	617	577
803	34	577	537
804	34	537	497
805	34	497	457
806	34	457	417
807	34	417	377
808	34	377	337
809	34	337	297
810	34	297	257
811	34	257	217
812	34	217	177
813	34	177	137
814	34	137	97
815	34	97	57
816	34	57	17
817	35	18	58
818	35	58	98
819	35	98	138
820	35	138	178
821	35	178	218
822	35	218	258
823	35	258	298
824	35	298	338
825	35	338	378
826	35	378	418
827	35	418	458
828	35	458	498
829	35	498	538
830	35	538	578
831	35	578	618
832	35	618	658
833	35	658	698
834	35	698	738
835	35	738	778
836	35	778	818
837	35	818	858
838	35	858	898
839	35	898	938
840	35	938	978
841	36	978	938
842	36	938	898
843	36	898	858
844	36	858	818
845	36	818	778
846	36	778	738
847	36	738	698
848	36	698	658
849	36	658	618
850	36	618	578
851	36	578	538
852	36	538	498
853	36	498	458
854	36	458	418
855	36	418	378
856	36	378	338
857	36	338	298
858	36	298	258
859	36	258	218
860	36	218	178
861	36	178	138
862	36	138	98
863	36	98	58
864	36	58	18
865	37	19	59
866	37	59	99
867	37	99	139
868	37	139	179
869	37	179	219
870	37	219	259
871	37	259	299
872	37	299	339
873	37	339	379
874	37	379	419
875	37	419	459
876	37	459	499
877	37	499	539
878	37	539	579
879	37	579	619
880	37	619	659
881	37	659	699
882	37	699	739
883	37	739	779
884	37	779	819
885	37	819	859
886	37	859	899
887	37	899	939
888	37	939	979
889	38	979	939
890	38	939	899
891	38	899	859
892	38	859	819
893	38	819	779
894	38	779	739
895	38	739	699
896	38	699	659
897	38	659	619
898	38	619	579
899	38	579	539
900	38	539	499
901	38	499	459
902	38	459	419
903	38	419	379
904	38	379	339
905	38	339	299
906	38	299	259
907	38	259	219
908	38	219	179
909	38	179	139
910	38	139	99
911	38	99	59
912	38	59	19
913	39	20	60
914	39	60	100
915	39	100	140
916	39	140	180
917	39	180	220
918	39	220	260
919	39	260	300
920	39	300	340
921	39	340	380
922	39	380	420
923	39	420	460
924	39	460	500
925	39	500	540
926	39	540	580
927	39	580	620
928	39	620	660
929	39	660	700
930	39	700	740
931	39	740	780
932	39	780	820
933	39	820	860
934	39	860	900
935	39	900	940
936	39	940	980
937	40	980	940
938	40	940	900
939	40	900	860
940	40	860	820
941	40	820	780
942	40	780	740
943	40	740	700
944	40	700	660
945	40	660	620
946	40	620	580
947	40	580	540
948	40	540	500
949	40	500	460
950	40	460	420
951	40	420	380
952	40	380	340
953	40	340	300
954	40	300	260
955	40	260	220
956	40	220	180
957	40	180	140
958	40	140	100
959	40	100	60
960	40	60	20
961	41	21	61
962	41	61	101
963	41	101	141
964	41	141	181
965	41	181	221
966	41	221	261
967	41	261	301
968	41	301	341
969	41	341	381
970	41	381	421
971	41	421	461
972	41	461	501
973	41	501	541
974	41	541	581
975	41	581	621
976	41	621	661
977	41	661	701
978	41	701	741
979	41	741	781
980	41	781	821
981	41	821	861
982	41	861	901
983	41	901	941
984	41	941	981
985	42	981	941
986	42	941	901
987	42	901	861
988	42	861	821
989	42	821	781
990	42	781	741
991	42	741	701
992	42	701	661
993	42	661	621
994	42	621	581
995	42	581	541
996	42	541	501
997	42	501	461
998	42	461	421
999	42	421	381
1000	42	381	341
1001	42	341	301
1002	42	301	261
1003	42	261	221
1004	42	221	181
1005	42	181	141
1006	42	141	101
1007	42	101	61
1008	42	61	21
1009	43	22	62
1010	43	62	102
1011	43	102	142
1012	43	142	182
1013	43	182	222
1014	43	222	262
1015	43	262	302
1016	43	302	342
1017	43	342	382
1018	43	382	422
1019	43	422	462
1020	43	462	502
1021	43	502	542
1022	43	542	582
1023	43	582	622
1024	43	622	662
1025	43	662	702
1026	43	702	742
1027	43	742	782
1028	43	782	822
1029	43	822	862
1030	43	862	902
1031	43	902	942
1032	43	942	982
1033	44	982	942
1034	44	942	902
1035	44	902	862
1036	44	862	822
1037	44	822	782
1038	44	782	742
1039	44	742	702
1040	44	702	662
1041	44	662	622
1042	44	622	582
1043	44	582	542
1044	44	542	502
1045	44	502	462
1046	44	462	422
1047	44	422	382
1048	44	382	342
1049	44	342	302
1050	44	302	262
1051	44	262	222
1052	44	222	182
1053	44	182	142
1054	44	142	102
1055	44	102	62
1056	44	62	22
1057	45	23	63
1058	45	63	103
1059	45	103	143
1060	45	143	183
1061	45	183	223
1062	45	223	263
1063	45	263	303
1064	45	303	343
1065	45	343	383
1066	45	383	423
1067	45	423	463
1068	45	463	503
1069	45	503	543
1070	45	543	583
1071	45	583	623
1072	45	623	663
1073	45	663	703
1074	45	703	743
1075	45	743	783
1076	45	783	823
1077	45	823	863
1078	45	863	903
1079	45	903	943
1080	45	943	983
1081	46	983	943
1082	46	943	903
1083	46	903	863
1084	46	863	823
1085	46	823	783
1086	46	783	743
1087	46	743	703
1088	46	703	663
1089	46	663	623
1090	46	623	583
1091	46	583	543
1092	46	543	503
1093	46	503	463
1094	46	463	423
1095	46	423	383
1096	46	383	343
1097	46	343	303
1098	46	303	263
1099	46	263	223
1100	46	223	183
1101	46	183	143
1102	46	143	103
1103	46	103	63
1104	46	63	23
1105	47	24	64
1106	47	64	104
1107	47	104	144
1108	47	144	184
1109	47	184	224
1110	47	224	264
1111	47	264	304
1112	47	304	344
1113	47	344	384
1114	47	384	424
1115	47	424	464
1116	47	464	504
1117	47	504	544
1118	47	544	584
1119	47	584	624
1120	47	624	664
1121	47	664	704
1122	47	704	744
1123	47	744	784
1124	47	784	824
1125	47	824	864
1126	47	864	904
1127	47	904	944
1128	47	944	984
1129	48	984	944
1130	48	944	904
1131	48	904	864
1132	48	864	824
1133	48	824	784
1134	48	784	744
1135	48	744	704
1136	48	704	664
1137	48	664	624
1138	48	624	584
1139	48	584	544
1140	48	544	504
1141	48	504	464
1142	48	464	424
1143	48	424	384
1144	48	384	344
1145	48	344	304
1146	48	304	264
1147	48	264	224
1148	48	224	184
1149	48	184	144
1150	48	144	104
1151	48	104	64
1152	48	64	24
1153	49	25	65
1154	49	65	105
1155	49	105	145
1156	49	145	185
1157	49	185	225
1158	49	225	265
1159	49	265	305
1160	49	305	345
1161	49	345	385
1162	49	385	425
1163	49	425	465
1164	49	465	505
1165	49	505	545
1166	49	545	585
1167	49	585	625
1168	49	625	665
1169	49	665	705
1170	49	705	745
1171	49	745	785
1172	49	785	825
1173	49	825	865
1174	49	865	905
1175	49	905	945
1176	49	945	985
1177	50	985	945
1178	50	945	905
1179	50	905	865
1180	50	865	825
1181	50	825	785
1182	50	785	745
1183	50	745	705
1184	50	705	665
1185	50	665	625
1186	50	625	585
1187	50	585	545
1188	50	545	505
1189	50	505	465
1190	50	465	425
1191	50	425	385
1192	50	385	345
1193	50	345	305
1194	50	305	265
1195	50	265	225
1196	50	225	185
1197	50	185	145
1198	50	145	105
1199	50	105	65
1200	50	65	25
1201	51	26	66
1202	51	66	106
1203	51	106	146
1204	51	146	186
1205	51	186	226
1206	51	226	266
1207	51	266	306
1208	51	306	346
1209	51	346	386
1210	51	386	426
1211	51	426	466
1212	51	466	506
1213	51	506	546
1214	51	546	586
1215	51	586	626
1216	51	626	666
1217	51	666	706
1218	51	706	746
1219	51	746	786
1220	51	786	826
1221	51	826	866
1222	51	866	906
1223	51	906	946
1224	51	946	986
1225	52	986	946
1226	52	946	906
1227	52	906	866
1228	52	866	826
1229	52	826	786
1230	52	786	746
1231	52	746	706
1232	52	706	666
1233	52	666	626
1234	52	626	586
1235	52	586	546
1236	52	546	506
1237	52	506	466
1238	52	466	426
1239	52	426	386
1240	52	386	346
1241	52	346	306
1242	52	306	266
1243	52	266	226
1244	52	226	186
1245	52	186	146
1246	52	146	106
1247	52	106	66
1248	52	66	26
1249	53	27	67
1250	53	67	107
1251	53	107	147
1252	53	147	187
1253	53	187	227
1254	53	227	267
1255	53	267	307
1256	53	307	347
1257	53	347	387
1258	53	387	427
1259	53	427	467
1260	53	467	507
1261	53	507	547
1262	53	547	587
1263	53	587	627
1264	53	627	667
1265	53	667	707
1266	53	707	747
1267	53	747	787
1268	53	787	827
1269	53	827	867
1270	53	867	907
1271	53	907	947
1272	53	947	987
1273	54	987	947
1274	54	947	907
1275	54	907	867
1276	54	867	827
1277	54	827	787
1278	54	787	747
1279	54	747	707
1280	54	707	667
1281	54	667	627
1282	54	627	587
1283	54	587	547
1284	54	547	507
1285	54	507	467
1286	54	467	427
1287	54	427	387
1288	54	387	347
1289	54	347	307
1290	54	307	267
1291	54	267	227
1292	54	227	187
1293	54	187	147
1294	54	147	107
1295	54	107	67
1296	54	67	27
1297	55	28	68
1298	55	68	108
1299	55	108	148
1300	55	148	188
1301	55	188	228
1302	55	228	268
1303	55	268	308
1304	55	308	348
1305	55	348	388
1306	55	388	428
1307	55	428	468
1308	55	468	508
1309	55	508	548
1310	55	548	588
1311	55	588	628
1312	55	628	668
1313	55	668	708
1314	55	708	748
1315	55	748	788
1316	55	788	828
1317	55	828	868
1318	55	868	908
1319	55	908	948
1320	55	948	988
1321	56	988	948
1322	56	948	908
1323	56	908	868
1324	56	868	828
1325	56	828	788
1326	56	788	748
1327	56	748	708
1328	56	708	668
1329	56	668	628
1330	56	628	588
1331	56	588	548
1332	56	548	508
1333	56	508	468
1334	56	468	428
1335	56	428	388
1336	56	388	348
1337	56	348	308
1338	56	308	268
1339	56	268	228
1340	56	228	188
1341	56	188	148
1342	56	148	108
1343	56	108	68
1344	56	68	28
1345	57	29	69
1346	57	69	109
1347	57	109	149
1348	57	149	189
1349	57	189	229
1350	57	229	269
1351	57	269	309
1352	57	309	349
1353	57	349	389
1354	57	389	429
1355	57	429	469
1356	57	469	509
1357	57	509	549
1358	57	549	589
1359	57	589	629
1360	57	629	669
1361	57	669	709
1362	57	709	749
1363	57	749	789
1364	57	789	829
1365	57	829	869
1366	57	869	909
1367	57	909	949
1368	57	949	989
1369	58	989	949
1370	58	949	909
1371	58	909	869
1372	58	869	829
1373	58	829	789
1374	58	789	749
1375	58	749	709
1376	58	709	669
1377	58	669	629
1378	58	629	589
1379	58	589	549
1380	58	549	509
1381	58	509	469
1382	58	469	429
1383	58	429	389
1384	58	389	349
1385	58	349	309
1386	58	309	269
1387	58	269	229
1388	58	229	189
1389	58	189	149
1390	58	149	109
1391	58	109	69
1392	58	69	29
1393	59	30	70
1394	59	70	110
1395	59	110	150
1396	59	150	190
1397	59	190	230
1398	59	230	270
1399	59	270	310
1400	59	310	350
1401	59	350	390
1402	59	390	430
1403	59	430	470
1404	59	470	510
1405	59	510	550
1406	59	550	590
1407	59	590	630
1408	59	630	670
1409	59	670	710
1410	59	710	750
1411	59	750	790
1412	59	790	830
1413	59	830	870
1414	59	870	910
1415	59	910	950
1416	59	950	990
1417	60	990	950
1418	60	950	910
1419	60	910	870
1420	60	870	830
1421	60	830	790
1422	60	790	750
1423	60	750	710
1424	60	710	670
1425	60	670	630
1426	60	630	590
1427	60	590	550
1428	60	550	510
1429	60	510	470
1430	60	470	430
1431	60	430	390
1432	60	390	350
1433	60	350	310
1434	60	310	270
1435	60	270	230
1436	60	230	190
1437	60	190	150
1438	60	150	110
1439	60	110	70
1440	60	70	30
1441	61	31	71
1442	61	71	111
1443	61	111	151
1444	61	151	191
1445	61	191	231
1446	61	231	271
1447	61	271	311
1448	61	311	351
1449	61	351	391
1450	61	391	431
1451	61	431	471
1452	61	471	511
1453	61	511	551
1454	61	551	591
1455	61	591	631
1456	61	631	671
1457	61	671	711
1458	61	711	751
1459	61	751	791
1460	61	791	831
1461	61	831	871
1462	61	871	911
1463	61	911	951
1464	61	951	991
1465	62	991	951
1466	62	951	911
1467	62	911	871
1468	62	871	831
1469	62	831	791
1470	62	791	751
1471	62	751	711
1472	62	711	671
1473	62	671	631
1474	62	631	591
1475	62	591	551
1476	62	551	511
1477	62	511	471
1478	62	471	431
1479	62	431	391
1480	62	391	351
1481	62	351	311
1482	62	311	271
1483	62	271	231
1484	62	231	191
1485	62	191	151
1486	62	151	111
1487	62	111	71
1488	62	71	31
1489	63	32	72
1490	63	72	112
1491	63	112	152
1492	63	152	192
1493	63	192	232
1494	63	232	272
1495	63	272	312
1496	63	312	352
1497	63	352	392
1498	63	392	432
1499	63	432	472
1500	63	472	512
1501	63	512	552
1502	63	552	592
1503	63	592	632
1504	63	632	672
1505	63	672	712
1506	63	712	752
1507	63	752	792
1508	63	792	832
1509	63	832	872
1510	63	872	912
1511	63	912	952
1512	63	952	992
1513	64	992	952
1514	64	952	912
1515	64	912	872
1516	64	872	832
1517	64	832	792
1518	64	792	752
1519	64	752	712
1520	64	712	672
1521	64	672	632
1522	64	632	592
1523	64	592	552
1524	64	552	512
1525	64	512	472
1526	64	472	432
1527	64	432	392
1528	64	392	352
1529	64	352	312
1530	64	312	272
1531	64	272	232
1532	64	232	192
1533	64	192	152
1534	64	152	112
1535	64	112	72
1536	64	72	32
1537	65	33	73
1538	65	73	113
1539	65	113	153
1540	65	153	193
1541	65	193	233
1542	65	233	273
1543	65	273	313
1544	65	313	353
1545	65	353	393
1546	65	393	433
1547	65	433	473
1548	65	473	513
1549	65	513	553
1550	65	553	593
1551	65	593	633
1552	65	633	673
1553	65	673	713
1554	65	713	753
1555	65	753	793
1556	65	793	833
1557	65	833	873
1558	65	873	913
1559	65	913	953
1560	65	953	993
1561	66	993	953
1562	66	953	913
1563	66	913	873
1564	66	873	833
1565	66	833	793
1566	66	793	753
1567	66	753	713
1568	66	713	673
1569	66	673	633
1570	66	633	593
1571	66	593	553
1572	66	553	513
1573	66	513	473
1574	66	473	433
1575	66	433	393
1576	66	393	353
1577	66	353	313
1578	66	313	273
1579	66	273	233
1580	66	233	193
1581	66	193	153
1582	66	153	113
1583	66	113	73
1584	66	73	33
1585	67	34	74
1586	67	74	114
1587	67	114	154
1588	67	154	194
1589	67	194	234
1590	67	234	274
1591	67	274	314
1592	67	314	354
1593	67	354	394
1594	67	394	434
1595	67	434	474
1596	67	474	514
1597	67	514	554
1598	67	554	594
1599	67	594	634
1600	67	634	674
1601	67	674	714
1602	67	714	754
1603	67	754	794
1604	67	794	834
1605	67	834	874
1606	67	874	914
1607	67	914	954
1608	67	954	994
1609	68	994	954
1610	68	954	914
1611	68	914	874
1612	68	874	834
1613	68	834	794
1614	68	794	754
1615	68	754	714
1616	68	714	674
1617	68	674	634
1618	68	634	594
1619	68	594	554
1620	68	554	514
1621	68	514	474
1622	68	474	434
1623	68	434	394
1624	68	394	354
1625	68	354	314
1626	68	314	274
1627	68	274	234
1628	68	234	194
1629	68	194	154
1630	68	154	114
1631	68	114	74
1632	68	74	34
1633	69	35	75
1634	69	75	115
1635	69	115	155
1636	69	155	195
1637	69	195	235
1638	69	235	275
1639	69	275	315
1640	69	315	355
1641	69	355	395
1642	69	395	435
1643	69	435	475
1644	69	475	515
1645	69	515	555
1646	69	555	595
1647	69	595	635
1648	69	635	675
1649	69	675	715
1650	69	715	755
1651	69	755	795
1652	69	795	835
1653	69	835	875
1654	69	875	915
1655	69	915	955
1656	69	955	995
1657	70	995	955
1658	70	955	915
1659	70	915	875
1660	70	875	835
1661	70	835	795
1662	70	795	755
1663	70	755	715
